 ,0.02,0.04,0.06,0.08,0.1,0.2,0.4,0.6,0.8,1,1.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
0,60.5,76.1,86.02,93.48,99.53,120,143.47,158.85,170.59,180.06,198.96,213.14,234.96,251.68,265.39,277.1,287.38,296.57,304.9,312.53
0.1,29.59,45.25,55.22,62.71,68.78,89.31,112.81,128.18,139.9,149.32,168.17,182.26,203.95,220.55,234.15,245.77,255.96,265.06,273.31,280.87
0.2,10.25,24.94,34.34,41.42,47.17,66.7,89.15,103.87,115.13,124.16,142.32,155.87,176.8,192.83,205.98,217.21,227.07,235.89,243.87,251.2
0.3,-6.71,7,15.83,22.5,27.94,46.44,67.82,81.89,92.66,101.3,118.74,131.76,151.9,167.35,180.04,190.89,200.42,208.93,216.66,223.74
0.4,-22.51,-9.54,-1.17,5.17,10.34,28.01,48.49,62,72.36,80.67,97.49,110.04,129.51,144.45,156.73,167.24,176.47,184.72,192.22,199.09
0.5,-36.09,-23.7,-15.68,-9.59,-4.63,12.35,32.08,45.13,55.14,63.17,79.45,91.61,110.48,124.98,136.9,147.11,156.07,164.1,171.38,178.06
0.6,-46.43,-34.49,-26.75,-20.88,-16.08,0.32,19.41,32.04,41.74,49.53,65.31,77.12,95.45,109.54,121.14,131.07,139.8,147.61,154.7,161.21
0.7,-53.26,-41.67,-34.17,-28.48,-23.84,-7.93,10.56,22.8,32.21,39.78,55.1,66.58,84.4,98.11,109.4,119.06,127.56,135.17,142.08,148.42
0.8,-57.14,-45.86,-38.57,-33.04,-28.53,-13.1,4.83,16.71,25.84,33.19,48.07,59.23,76.55,89.89,100.88,110.29,118.57,125.99,132.72,138.9
0.9,-59.25,-48.22,-41.12,-35.74,-31.35,-16.37,1.03,12.55,21.41,28.54,42.99,53.82,70.67,83.64,94.33,103.5,111.56,118.78,125.34,131.37
1,-60.78,-49.96,-43.03,-37.79,-33.52,-18.96,-2.08,9.09,17.68,24.6,38.62,49.14,65.5,78.11,88.51,97.43,105.28,112.32,118.71,124.58
